3.0M 19:04 epa-71M0001XCB-F-janvier-1992-remanie-2001
3.0M 19:40 famex-62M0001-E-1986
3.0M 20:31 lfs-71M0001XCB-E-1992-january-rebased
3.0M 19:02 epa-71M0001XCB-F-decembre-1991-remanie-2001
3.0M 20:30 lfs-71M0001XCB-E-1991-december-rebased
3.0M 19:00 epa-71M0001XCB-F-avril-1992-remanie-2001
3.0M 20:30 lfs-71M0001XCB-E-1992-april-rebased
3.0M 19:15 epa-71M0001XCB-F-septembre-2009-remanie-2011
3.0M 20:15 LFS-71M0001-E-2009-September-Rebased2011
3.0M 19:10 epa-71M0001XCB-F-mars-1992-remanie-2001
3.0M 20:31 lfs-71M0001XCB-E-1992-march-rebased
3.0M 19:14 epa-71M0001XCB-F-septembre-1992-remanie-2001
3.0M 19:02 epa-71M0001XCB-F-decembre-1992-remanie-2001
3.0M 20:31 lfs-71M0001XCB-E-1992-september-rebased
3.0M 20:30 lfs-71M0001XCB-E-1992-december-rebased
